fyear,gvkey,p_aaer,misstate,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf
1990,1054,,0,102.483,22.629,166.156,112.805,35.334,102.568,13.234,0.121,0,2.143,7.606,4.974,3.846,0,18.979,51.208,53.351,4.974,32.127,0,66.157,60.655,207.486,1.201,0.266,4.591,0.26,8.75,-0.015612679,0.026740262,0.047266993,-0.00280082,0.7254568,0.09429905,-0.120180198,-0.060314608,1,0.974157473,0.863421474,0.398161968,0.059131178,-0.080460495
1990,1056,,0,71.081,11.981,123.616,54.671,1.355,86.546,7.854,5.677,27.042,40.827,4.349,2.505,31.183,13.073,0.061,25.804,67.232,2.505,46.249,0,5.076,36.685,122.562,0,1.278,1.02,4.929,3.625,0.059694717,0.027795844,0.068939629,0.04316911,0.784785141,0.133501384,-0.177028432,0.06781835,1,1.920251486,1.01616323,0.041062646,0.068389205,0.038577209
1990,1058,,0,46.777,18.633,79.11,-26.01,1.028,95.152,3.727,19.889,0,26.644,6.512,-16.798,22.637,0,0,69.507,105.12,-17.769,69.723,0,-45.567,19.728,126.514,0,0,0.15,10.888,1.375,-0.531054938,-0.094694785,-0.304659498,-0.10111146,0.582644419,-0.62246147,4.306655021,0.015517627,0,-5.075493329,0.95278076,-0.575995449,-0.08508406,0.19815051
1990,1065,,0,7.482,4.684,12.78,-3.604,6.125,33.695,11.551,3.321,4.027,6.262,2.636,-45.947,0.689,0,2.04,10.101,16.363,-45.947,10.194,0.021,-113.397,0.19,0.474,9.737,0,0,1.126,2,-0.130436459,-1.411358729,-0.002776064,0.026565392,0.125586855,-0.437113402,1.764732266,-1.121997666,1,-0.156003809,0.810616777,-8.873004695,-3.507120501,0.470658544
1990,1073,,0,0.82,0.384,1.412,0.183,0.108,1.65,3.507,0.114,0.109,0,0.159,-0.692,0.276,0,0,1.229,1.229,-0.692,1.287,0,-0.932,0.278,3.105,0,0,0,0.022,0.094,-0.278513732,-0.325040388,0.119547658,-0.222021888,0.762747875,0.011430551,-0.676599144,-0.344239526,1,0.55512088,0.894152812,-0.660056657,-0.474504249,0.002584814
1990,1075,,0,387.463,87.637,7010.645,1511.945,59.358,923.37,86.873,332.366,642.665,3218.168,213.891,101.268,129.25,537.649,0,623.045,5137.687,128.393,6796.688,361.014,-134.625,189.291,1596.639,0,90.634,77.689,357.575,10,0.005732796,0.025979332,0.002514584,0.002183583,0.260293596,-0.756125479,-0.733804127,0.065337155,1,1.740408412,0.960695163,-0.019202941,0.080400163,-0.033903265
1990,1078,,0,2461.242,351.243,5563.151,2833.617,53.15,2554.206,429.141,663.832,620.895,134.84,355.886,965.774,777.623,313.964,19.116,2001.175,2729.534,965.774,4257.55,0,2590.416,1070.189,6158.682,51.272,234.338,384.959,91.425,45,0.037468653,0.034989485,0.034086922,0.015672526,0.563389166,0.135200415,-0.001799763,0.00775115,1,0.14673328,0.983932505,0.465638269,0.25923402,-0.014644948
1990,1081,,0,718.9,208.3,2475.7,1118.8,0,2674.2,69.267,167.2,0,389.9,113.3,-44.6,399.6,0,0,531.1,1329.7,-44.6,2409.2,27.2,856.6,292.9,3088,0,0,-24.4,60.6,12,-0.067006697,-0.052250428,-0.035158075,-0.01304314,0.445126631,-0.036499227,-0.235015484,-0.037849807,0,1.345999297,0.937233857,0.346003151,-0.00339298,0.0137829
1990,1082,,0,19.65,6.679,76.606,18.676,2.266,61.75,2.978,4.948,31.018,39.104,1.655,1.027,4.01,5.373,0,16.51,57.93,1.027,66.261,0,13.756,12.765,77.094,0,0,0.631,4.203,3.125,-0.250830057,0.01682154,0.070713031,-0.222021888,0.317729682,0.351542296,-1.352623252,-0.010774499,1,2.006823371,2.089877701,0.17956818,0.076508368,-0.024030771
1990,1094,,0,62.95,3.007,68.244,46.092,19.667,104.429,3.916,1.878,0,4,0.694,5.002,22.717,0,10.858,16.612,21.202,5.002,11.683,0.95,16.912,20.07,121.594,0.178,0.401,3.289,0.598,13,0.054470048,0.101976092,0.064790378,0.009314911,0.634839693,0.044074681,-0.488434126,-0.001348334,1,0.905398227,0.951127649,0.247816658,0.130253209,-0.100438392
1990,1095,,0,45.282,10.879,214.325,-69.585,2.373,137.035,15.419,11.835,44.9,239.076,13.013,-14.518,0,0,0,44.834,283.91,-14.518,179.095,0,-62.568,29.273,159.075,0,0,0,26.605,2.75,-0.018251915,0.00362145,0.02019525,0,0.55910883,0.087628504,-0.467992041,-0.033878071,1,-1.641068575,0.967786536,-0.291930479,0.056395661,-0.038958315
1990,1096,,0,134.59,39.397,170.47,103.882,0,336.464,13.63,20.187,0,4.791,5.185,-9.024,82.883,1.496,0,59.584,66.588,-9.024,66.675,0,6.557,50.195,343.504,44.148,0,0,7.185,5.875,-0.093746303,0.177176607,0.003603723,-0.103930258,0.808523494,-0.056175414,-1.476813472,-0.00695208,1,1.297288522,0.918260701,0.038464246,-0.010787822,-0.179723971
1990,1098,,0,70.957,7.595,129.26,64.092,6.681,139.365,6.291,4.723,0,6.259,6.907,3.063,36.928,0,0,38.849,61.537,5.113,138.875,3.631,4.15,25.963,199.493,0,1.763,3.83,1.067,5.5,0.050366732,0.028261123,0.011271299,-0.011082941,0.609964413,0.027706985,-0.073771619,-0.014311233,0,1.852343174,0.983726223,0.032105833,0.077440817,-0.044015325
1990,1099,,0,43.47,5.047,60.42,27.807,0.109,58.629,4.7,0.567,6.226,22.71,1.867,3.69,22.4,0,0,9.109,32.613,3.69,30.765,0,5.783,18.392,90.589,0.583,0,2.192,1.8,8.5,0.102350849,0.050149085,0.040770463,0.035904197,0.761982787,-0.001233115,-0.007871719,-0.013966862,1,0.696045056,1.035991276,0.09571334,0.12714333,-0.046468418
1990,1104,,0,28.093,2.558,37.753,19.826,1.57,30.879,3.273,2.258,4.169,9.771,1.357,1.3,17.909,0,0,7.688,17.927,1.3,21.028,0,10.077,7.489,44.224,0,0.418,0.676,1.054,5.25,0.072808797,0.026963962,0.043862191,0.081562934,0.720922841,0.131485693,0.756778902,0.086130735,1,1.15379803,1.828621223,0.266919185,0.080258523,0.057923714
1990,1108,,0,64.245,5.763,81.832,21.341,1.364,98.953,5.53,37.069,0,5.586,2.494,-16.995,39.151,0,0,51.028,60.491,-16.995,29.313,0,6.741,16.755,130.584,0,2.888,0,5.855,3.25,-0.183999465,-0.110175377,-0.036248399,-0.195512936,0.861753348,0.0075506,-0.568756799,-0.191515466,0,1.187425233,0.808243295,0.082376088,-0.136132564,-0.083187143
1990,1109,,0,1.518,0.236,2.127,1.344,0.001,2.488,0.683,0.49,0,0,0.103,-0.085,1.109,0,0,0.776,0.783,-0.085,1.14,0,0.244,0.355,3.971,0,0,-0.006,0.035,2.25,0.106646059,-0.027820711,0.051519835,0.036063885,0.724964739,0.181984733,0.167577881,0.038407687,0,0.874573157,1.600776699,0.114715562,-0.026328162,0.058732612
1990,1111,,0,3.967,3.579,4.817,-14.737,1.581,19.983,4.251,9.382,0,0,3.81,-26.838,0.695,0,0.729,19.433,19.554,-26.838,6.815,0,-57.995,1.657,28.763,0.011,0,0.203,1.173,0.5313,-0.999627561,-1.362737166,-0.304659498,-0.222021888,0.542453809,-0.360560275,-0.016689166,-0.895858926,1,-6.525578757,0.800737511,-12.03965124,-5.28586257,0.99104836
1990,1115,,0,48.243,5.481,58.96,36.479,10.598,40.506,42.771,0.145,0,0,2.433,3.342,19.044,0,1.64,21.881,22.481,3.342,19.822,0,-47.096,17.796,75.74,0.573,0,0.115,0.072,0.875,-0.086446444,-0.016675884,-0.192200044,0.068144871,0.725050882,-0.063337093,0.165737608,-0.265550548,1,0.97473337,0.935810731,-0.798778833,0.059854138,-0.214205507
1990,1116,,0,7.761,2.173,11.803,1.547,0.191,13.007,7.054,0.5,0,2.597,0.357,-0.575,4.982,0,0,2.785,5.439,-0.575,8.301,4.817,-12.657,2.458,18.106,0,0,0,0.411,0.375,-0.095206963,-0.074776284,-0.129775671,0.061945818,0.697280353,-0.025242526,0.23327119,-0.074930966,0,0.584821851,1.383327366,-1.072354486,-0.013894773,-0.000490336
1990,1117,,0,34.828,7.492,55.362,20.635,6.736,63.145,20.65,6.818,0.287,10.948,1.809,1.7,18.693,4.286,0.469,20.197,33.175,1.7,25.273,0,8.328,8.181,80.611,0.051,0.08,-0.293,3.565,0.75,0.485333774,0.62120962,0.207500963,0.268206186,0.603319967,9.6,-0.786025686,0.257402643,1,1.332364952,,0.150428092,0.089808894,-0.606048099
1990,1121,,0,11.959,7.809,19.567,4.048,1.177,104.156,7.567,0.328,0.975,3.888,1.267,1.844,1.21,0,0,9.909,15.009,1.844,17.497,0.51,-19.84,9.089,110.003,0,0,0.02,0.275,1.375,0.109534755,0.17463211,0.13320652,-0.003698713,0.627025093,0.222553346,0.481860176,-0.020208769,1,0.389057751,1.027454908,-1.013952062,0.109316707,-0.178436501
1990,1128,,0,132.394,4.438,243.078,182.497,44.569,446.042,12.471,6.138,2.4,7.059,11.548,17.517,0,0,0,53.522,60.581,17.517,27.084,0,79.678,78.796,666.241,0.075,2.861,12.685,1.11,20,0.022029589,0.067953705,0.032869545,0,0.772431072,0.113183056,0.027481237,-0.021628748,1,0.73168551,0.982469884,0.327787788,0.128814619,-0.079976516
1990,1137,,0,20.868,6.026,33.181,22.237,3.018,68.42,5.821,0.626,0,0.74,3.706,8.453,5.993,0,0,9.784,10.944,8.453,33.004,0,10.029,11.807,88.274,0.196,0.631,3.417,0.271,7.5,0.01203349,0.231653164,0.003355818,0.013084302,0.569633224,0.272311444,0.014737186,0.090383883,1,0.509351281,1.494523208,0.302251288,0.365902173,-0.126741466
1990,1138,,0,13.672,0.05,17.483,16.213,11.85,2.161,1.892,0,0,0,0.101,2.662,0.004,3.22,0,0.764,0.764,2.662,1.258,0.506,13.036,1.424,3.314,0,0.245,-0.748,0.002,10.375,0.021375849,-0.115264246,0.018010038,-0.001121937,0.311674198,-0.081782118,-0.341864763,0.124534421,0,0.825950737,1.022131625,0.74563862,0.109592175,0.241334514
1990,1141,,0,2.201,0.691,3.648,0.435,0.131,5.057,1.891,0.934,0.032,0.361,0.223,-0.183,0.683,0,0,2.852,3.213,-0.183,1.122,0,-2.804,1.288,5.788,0.054,0.057,0.006,0.264,0.5,-0.237046308,-0.042302879,-0.211764706,-0.008760951,0.786732456,0.242089496,-16.19840385,0.25021802,1,0.460074035,1.061991913,-0.768640351,0.023848684,0.442052566
1990,1151,,0,9.968,1.175,15.768,10.041,0.126,12.089,4.731,1.273,0.9,1.167,1.148,1.184,3.893,0,0,4.442,5.727,1.184,4.285,0,4.28,4.77,26.9,0.068,0,0.561,0.246,2.625,0.129721556,0.094085933,0.076596864,0.001972451,0.878614916,-0.009506581,-0.090481692,0.009418132,1,0.808527343,0.787559319,0.271435819,0.126268392,-0.081462244
1990,1154,,0,20.227,3.622,24.84,9.452,1.004,24.454,2.552,0.059,0,2.593,0.696,2.198,12.906,0,0,12.667,15.388,2.198,8.459,0,8.425,5.436,34.364,0.082,0.911,1.296,0.791,3.75,-0.195248398,0.061803486,-0.080254725,0.056006858,0.773872786,0.266294876,-0.027703661,0.026872455,1,0.987670178,0.940718331,0.339170692,0.172504026,-0.031391599
1990,1155,,0,20.306,2.822,23.899,8.953,2.395,18.739,8.294,2.182,0.404,8.816,0.454,-0.82,12.125,0,0,6.09,14.946,-0.81,7.073,0,4.883,5.666,25.38,0,0,0.011,1.254,0.437,-0.071615561,-0.031707094,-0.114892449,-0.090032037,0.759655216,-0.263747612,1.515139776,-0.036399341,1,2.470148918,1.019086987,0.204318172,0.019038454,-0.005675057
1990,1161,,0,396.515,84.606,1111.692,636.269,115.073,550.233,82.338,61.042,64.781,131.307,128.274,-53.552,90.042,0,66,317.539,475.388,-53.552,1449.326,0.035,143.548,153.458,1059.242,7.632,0.215,0,20.158,4.875,-0.064765922,-0.026682697,-0.02975417,-0.00040195,0.314477391,0.004063203,-0.092808552,-0.089735248,1,1.585133449,1.283474509,0.129125693,-0.030038896,-0.062484026
1990,1164,,0,22.596,15.124,168.542,39.411,1.149,90.455,7.858,1.371,104.293,93.874,9.418,9.792,0,0,0,28.431,129.131,9.792,41.648,0,12.259,20.897,154.423,0.695,0,7.772,10.535,18,-0.014074997,0.067002362,0.034989301,0,0.802073074,0.526871048,0.552042245,0.055393667,1,0.278633648,1.029731858,0.072735579,0.166718088,-0.030010985
1990,1166,,0,155.303,33.595,227.33,25.012,14.141,135.524,7.404,58.677,13.337,62.487,11.275,-17.251,54.105,1.338,5.177,128.374,192.247,-17.251,117.147,0,-53.067,73.577,234.327,0,2.049,2.341,11.556,2.25,0.023001492,-0.069202198,0.067314437,0.035034201,0.653917213,0.012037109,-0.10684196,-0.107129639,1,1.501410769,1.00172634,-0.233435974,-0.014753882,-0.0357121
1990,1171,,0,88.492,18.597,352.284,153.964,0.093,176.613,20.847,3.972,70,131.816,23.853,28.255,0,17.989,0,48.96,198.32,28.255,201.215,0,64.68,79.28,350.685,1.677,0,15.721,13.44,21,0.055468134,0.093370226,0.053891457,0,0.645947588,0.084451401,0.060161429,-0.011140633,1,0.351687008,0.878092227,0.183601867,0.162982139,-0.084244045
1990,1173,,0,8.342,1,12.854,7.088,0.056,9.633,3.836,1.189,0,2.16,0.609,0.435,5.52,0,0,3.289,5.766,0.435,9.06,0,2.392,2.664,14.069,0,0.196,0.289,0.315,1.312,0.045551659,0.049018422,0.093602612,0.035957593,0.649369846,0.1731346,-0.077300188,0.028574709,0,1.408352926,0.861297422,0.186089933,0.08083087,-0.019994356
1990,1181,,0,97.349,32.63,497.51,213.491,4.985,247.477,70.12,0.382,50.504,153.845,21.575,24.179,18.56,0,0,80.158,284.019,24.179,309.775,0,168.898,66.151,535.959,0.46,2.113,17.657,13.802,8.25,0.017781047,0.076279677,0.009873755,0.002119801,0.640917771,-0.018347064,0.003562081,0.013442211,1,0.36904873,0.948745121,0.339486644,0.111832928,-0.116512378
1990,1186,,0,26.04,0.799,178.961,136.774,14.929,86.229,28.853,5.209,16.796,11.587,16.505,-47.687,8.425,13.941,0,18.477,42.187,-47.687,151.883,0,-21.678,0.317,71.143,42.929,0,0.357,2.787,7.125,-0.004786093,-0.151329621,-0.013255467,-0.00063561,0.20194344,0.91512675,0.645227082,-0.193234753,1,0.665315596,0.428505979,-0.121132537,-0.248897805,-0.024191226
1990,1189,,0,139.954,45.213,323.899,175.115,40.189,242.202,17.721,29.653,1.436,35.008,7.138,5.363,32.087,32.288,0,107.825,145.097,1.188,163.613,0,114.308,63.826,274.715,20.169,24.292,9.515,5.159,8.25,-0.247627525,0.016561463,-0.270770821,0.000937983,0.480140414,1.421464118,-1.561607669,-0.221907987,1,1.197791355,2.728568855,0.352912482,0.048972056,0.020705816
1990,1197,,0,15.753,0.964,26.575,20.734,0.573,33.411,5.15,2.36,0,0.06,1.624,2.432,13.21,0,0,5.781,5.841,2.432,23.465,0,4.059,1.081,59.584,0,0,0,0.568,3.25,-0.031649183,0.089309927,-0.003246985,-0.086491115,0.578852305,-0.046207205,0.202676829,0.259665817,0,1.238775205,0.990826321,0.152737535,0.112888053,0.193427532
1990,1203,,0,137.684,78.904,192.638,52.432,19.889,475.397,4.966,4.855,0,28.441,5.269,11.067,0,0,0,111.765,140.206,11.178,40.834,0,35.712,114.846,567.807,1.489,7.572,8.148,3.819,15.875,0.005224119,0.050582143,0.023317933,0,0.80558353,0.089097122,-0.07901971,0.013581039,1,0.665083643,0.936620024,0.185383985,0.120147634,-0.036842656
1990,1208,,0,23.106,3.4,46.848,16.284,13.357,72.676,3.355,2.055,6.65,15.854,2.461,3.767,5.318,0,0,10.182,30.564,3.968,32.902,0,-9.236,3.729,81.445,0.048,0,0.828,2.237,5.5,-0.022784786,-0.187074088,-0.01052043,-0.035560947,0.27920082,0.03843475,0.465618896,0.113213427,1,0.882482049,0.918090655,-0.197148224,0.150123805,0.303841379
1990,1209,,0,837.3,317.7,3899.5,1688.4,74.4,1471.9,55.7,103.4,190.9,953.9,308,229.9,246.9,37.1,0,623,2211.1,229.9,5010.2,0,1624.4,437.3,2894.7,0,16.9,106.9,103.4,44.875,-0.000596817,0.064016887,0.016518453,-0.007835977,0.343633799,0.086408468,-0.094080465,-0.006509205,1,0.675484965,1.035463365,0.416566226,0.112886268,-0.061879853
1990,1210,,0,2.284,1.11,4.877,1.803,0.124,21.955,15.514,0.738,0,0.514,0.235,0.744,0.204,0,0,2.56,3.074,1.091,0.985,0,-7.392,1.288,25.926,0,0.021,0.515,0.255,0.312,-0.039417941,0.173144226,-0.16190827,0.009209799,0.862210375,0.484794771,0.293624419,0.154674509,0,0.372492495,1.138103851,-1.515685872,0.381587041,-0.109044023
1990,1212,,0,51.541,27.795,250.345,89.06,14.264,166.361,9.027,4.276,39.08,90.852,10.149,-1.975,8.276,0,0,43.223,161.285,-1.071,222.274,0,28.293,21.884,206.069,0.043,1.22,-2.202,7.358,6.625,0.01453167,0.050821896,0.021533528,0.013428163,0.210301784,0.166554513,-0.261436051,-0.007733361,1,1.48920116,1.169201042,0.113016038,0.016317482,-0.06217287
1990,1213,,0,175.939,94.545,613.534,263.417,8.795,905.304,18.824,8.75,28.464,124.163,67.877,33.577,16.933,0,0,151.709,310.117,33.577,656.627,40,102.162,135.414,1181.89,109.461,2.207,21.862,12.964,17,-0.004073278,0.172706636,0.036382789,0.004562146,0.301313375,0.249379701,0.053870576,0.019186738,1,0.823157546,1.084677143,0.166513999,0.111490154,-0.145968368
1990,1228,,0,0.018,0.251,10.086,7.847,0.001,0.034,23.433,0.287,0.044,0.002,0.013,-1.004,0,0.491,0,1.487,1.489,-1.177,0.45,0.75,-13.491,0.017,0.041,0.314,0,0,0.016,0.344,-0.057886978,-0.070761671,-0.003144963,0,0.993598596,0.280701754,-0.879098542,-0.057351999,1,0.973458675,0.151757023,-1.337596669,-0.115110054,0.031842752
1990,1230,,0,167.716,107.824,1021.404,279.833,52.349,960.051,13.179,61.365,117.113,281.759,58.495,17.167,32.095,0,23.484,295.981,680.906,17.167,868.042,60.665,202.883,65.389,1046.965,61.172,2.693,10.751,20.266,17.5,-0.027379887,-0.081402115,0.006491235,0.010202171,0.263046747,0.143970544,-0.273081527,-0.035410607,1,1.213328564,1.115570433,0.198631492,0.047174282,0.054213209
1990,1231,,0,2.735,0.042,15.366,-70.304,0.054,10.059,5,85.549,0,0.026,0.745,-9.225,2.36,0.314,0,85.644,85.67,-9.225,38.713,0,-75.701,0.125,9.089,0,0,0,6.202,0.187,-0.011046367,-0.508243351,-0.009996962,-0.027008368,0.194910842,-0.045215779,-1.755100543,-0.191774709,0,-7.034304207,0.151757023,-4.926526097,-0.196733047,0.37159979
1990,1234,,0,16.531,14.18,38.487,11.258,2.456,84.056,2.074,0,0,0,0.548,3.869,0.427,0.239,0,17.646,27.229,3.869,26.567,0,7.484,12.594,89.639,0,0.52,2.105,0.262,14.25,-0.391889081,-0.065534373,-0.117111496,0.002911612,0.622651805,-0.414032483,0.389903119,0.234290879,0,0.380923417,1.498436233,0.194455271,0.162028737,0.248642403
1990,1235,,0,15.852,1.361,28.664,22.88,1.491,32.291,1.818,0.816,0,0.91,1.275,1.408,9.275,0.373,0,3.432,5.784,1.408,30.947,0,9.586,4.953,41.852,0.02,0.036,0.302,0.258,8.125,-0.047140477,0.02515075,-0.089848649,0.006287688,0.544376221,-0.02614923,0.838300427,-0.00854467,1,1.548954896,0.936024072,0.334426458,0.06865755,-0.033465615
1990,1238,,0,151.5,101.7,2082.2,797.2,29.8,283.1,66.785,40.8,60.9,595.9,137.5,53.6,42.2,0,0,142.5,1210,53.6,2610.9,75,252.4,79.5,564.2,14,0,28.4,60,16.875,0.014685726,0.034805169,0.005091052,0.007587625,0.167226972,0.105830671,0.014672992,0.007278982,1,0.707366646,0.954668887,0.121217943,0.068197099,-0.026825925
1990,1239,,0,329.393,78.24,436.547,230.868,74.999,362.544,28.5,5.084,0.375,60.728,10.125,35.01,138.861,0,2.429,136.777,205.679,35.01,131.683,0,168.076,110.944,795.825,37.351,11.36,19.694,7.89,20.75,0.07958116,0.105916345,0.057235169,0.035249556,0.640884029,0.099035551,-0.021464061,-0.000790605,1,0.390391883,0.823228781,0.385012381,0.143384332,-0.091971685
1990,1240,,0,677.391,395.8,2013.51,1087.882,23.433,6170.104,133.82,19.907,0,159.095,123.777,233.774,562.713,0,0,585.567,925.628,233.774,1959.444,0,951.931,52.274,8218.562,8.312,9.443,132.235,29.01,38.75,0.007444922,0.095629765,0.004215986,0.00930654,0.358390572,0.10537357,-0.021672548,0.006798862,1,0.209792065,0.968996145,0.472771926,0.196184275,-0.076423837
1990,1243,,0,3370,1024,10649,4942,200,6996,222.667,820,792,1796,393,543,1787,0,0,2148,5428,543,10445,212,3786,1383,8757,22,84,126,263,19.5,0.002877412,0.03294141,0.003770402,-0.009128343,0.402103484,-0.020006744,-0.082527676,-0.038271034,1,1.138183464,0.993826798,0.355526341,0.087519955,-0.061913975
1990,1244,,0,3.613,0.348,3.753,2.524,2.774,4.2,23.698,0,0.053,0.4,0.059,-0.092,0.164,0,0,0.586,1.078,-0.092,0.676,0.151,-15.981,0.486,4.015,0,0,0,0.053,0.4688,0.026505708,0.031754363,-0.011547041,0.026768141,0.234479083,0.222958723,-1.01920407,0.542054291,1,0.227214674,0.95395359,-4.258193445,-0.010391687,0.39863535
1990,1245,,0,496.663,241.711,756.894,36.137,21.749,2401.888,0.001,0.049,713.15,458.656,10.264,-20.549,286.094,0,0,260.089,720.757,-20.549,44.038,0,-36.484,187.463,2564.008,0,0,-6.37,64.299,18,-0.006296648,-0.005751166,0.019507545,-0.000955905,0.923376325,0.120973125,-0.434187558,-0.007490745,1,4.937456507,0.881216439,-0.048202258,0.049386044,-0.005564967
1990,1250,,0,10.122,0.67,15.491,12.339,2.537,10.925,2.165,0.137,0,0.683,1.605,0.641,5.351,0,0.9,2.239,3.152,0.641,17.012,0,8.801,2.132,17.972,0,0.062,0.301,0.097,5,0.05002974,0.059084,0.018637235,0.062190206,0.502356207,-0.14466686,-0.083874848,-0.00315891,0,1.139861432,1.131427538,0.568136337,0.067071203,-0.06417289
1990,1253,,0,2047,1706.7,2835,430.6,696,1156.5,40.6,10.1,24.5,182.6,72.3,54.9,0,94.1,283.8,1951.8,2404.4,54.9,501.7,0,104,1351,1338.4,0.2,0,44.8,28.6,23.125,-0.022023273,0.000294134,0.052760263,0,0.668183422,-0.137069401,-1.375316537,-0.002754432,1,0.458634004,1.05971682,0.036684303,0.045255732,-0.00180157
1990,1254,,0,170.357,43.766,1371.17,682.864,47.46,418.436,46.201,17.12,169.11,406.663,63.971,115.189,19.738,19.683,0,118.731,688.306,115.189,1664.165,0,628.714,105.716,674.331,0.644,6.075,51.19,33.415,22.25,-0.001237145,0.042810956,0.022283748,0.001600402,0.110704727,0.035300864,-0.203551461,-0.091690364,1,0.664282523,0.992018117,0.458523743,0.145710598,-0.112530017
